title,authors,average_rating,language_code,  num_pages,ratings_count,publication_date
Twilight (Twilight  #1),Stephenie Meyer,3.59,eng,501,4597666,9/6/2006
The Hobbit  or There and Back Again,J.R.R. Tolkien,4.27,eng,366,2530894,8/15/2002
The Catcher in the Rye,J.D. Salinger,3.8,eng,277,2457092,1/30/2001
Angels & Demons (Robert Langdon  #1),Dan Brown,3.89,eng,736,2418736,4/1/2006
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,eng,435,2339585,5/1/2004
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling/Mary GrandPré,4.42,eng,341,2293963,6/2/1999
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,eng,870,2153167,9/1/2004
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,eng,398,2128944,9/5/2003
Animal Farm,George Orwell/Boris Grabnar/Peter Škerl,3.93,eng,122,2111750,5/6/2003
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,eng,652,2095690,9/16/2006
Lord of the Flies,William Golding,3.68,eng,182,2036679,10/1/1999
Romeo and Juliet,William Shakespeare/Paul Werstine/Barbara A. Mowat,3.74,eng,368,1893917,1/1/2004
The Lightning Thief (Percy Jackson and the Olympians  #1),Rick Riordan,4.25,eng,375,1766725,3/1/2006
Of Mice and Men,John Steinbeck,3.87,eng,103,1755253,1/8/2002
The Da Vinci Code (Robert Langdon  #2),Dan Brown,3.84,eng,489,1679706,3/28/2006
